year,location,Soil,cultivar,sowing date,sowing configuration,esw,gsr,nheat,nheat2,Maturity Date,yield,nfrost,multiplier,frost yield,crop,crop price
1957,"Walpeup, VIC",Loomy sand over clay ,1,121,,0,128.6,2,,321,1014.3,0,1,1014.271,Wheat,250
1958,"Walpeup, VIC",Loomy sand over clay ,1,121,,2.805,261.4,2,,330,2666.2,0,1,2666.21,Wheat,250
1959,"Walpeup, VIC",Loomy sand over clay ,1,121,,3.229,139,0,,318,2052.4,0,1,2052.36,Wheat,250
1960,"Walpeup, VIC",Loomy sand over clay ,1,122,,43.424,299,2,,331,2356.7,0,1,2356.72,Wheat,250
1961,"Walpeup, VIC",Loomy sand over clay ,1,121,,0.942,176.1,3,,316,1864.7,0,1,1864.689,Wheat,250
1962,"Walpeup, VIC",Loomy sand over clay ,1,121,,0.682,174.7,0,,320,1146.9,0,1,1146.871,Wheat,250
1963,"Walpeup, VIC",Loomy sand over clay ,1,121,,3.715,239.3,4,,319,2650.9,0,1,2650.942,Wheat,250
1964,"Walpeup, VIC",Loomy sand over clay ,1,122,,47.884,339.1,0,,325,1654.8,0,1,1654.759,Wheat,250
1965,"Walpeup, VIC",Loomy sand over clay ,1,121,,11.365,212,5,,330,1213.1,0,1,1213.073,Wheat,250
1966,"Walpeup, VIC",Loomy sand over clay ,1,121,,5.91,185.3,0,,326,1577.9,0,1,1577.866,Wheat,250
1967,"Walpeup, VIC",Loomy sand over clay ,1,121,,5.507,81.5,5,,324,70.2,0,1,70.213,Wheat,250
1968,"Walpeup, VIC",Loomy sand over clay ,1,122,,5.525,229.2,3,,327,1134.9,0,1,1134.903,Wheat,250
1969,"Walpeup, VIC",Loomy sand over clay ,1,121,,1.958,148.9,1,,323,2210.2,0,1,2210.165,Wheat,250
1970,"Walpeup, VIC",Loomy sand over clay ,1,121,,33.761,205.3,0,,328,1923.7,1,0.9,1731.329,Wheat,250
1971,"Walpeup, VIC",Loomy sand over clay ,1,121,,9.071,183.3,2,,325,2105.4,0,1,2105.43,Wheat,250
1972,"Walpeup, VIC",Loomy sand over clay ,1,122,,1.709,154.3,0,,319,878.5,0,1,878.502,Wheat,250
1973,"Walpeup, VIC",Loomy sand over clay ,1,121,,24.967,385.6,0,,321,7274.3,0,1,7274.345,Wheat,250
1974,"Walpeup, VIC",Loomy sand over clay ,1,121,,4.988,278.9,0,,328,5950.1,0,1,5950.103,Wheat,250
1975,"Walpeup, VIC",Loomy sand over clay ,1,121,,79.722,283.1,0,,319,1617.9,0,1,1617.887,Wheat,250
1976,"Walpeup, VIC",Loomy sand over clay ,1,122,,8.245,195.5,0,,327,3593.5,0,1,3593.462,Wheat,250
1977,"Walpeup, VIC",Loomy sand over clay ,1,121,,0.517,106.3,6,,0,66.5,0,1,66.456,Wheat,250
1978,"Walpeup, VIC",Loomy sand over clay ,1,121,,28.642,316.7,2,,325,2735.6,1,0.9,2462.002,Wheat,250
1979,"Walpeup, VIC",Loomy sand over clay ,1,121,,22.577,226.6,1,,318,4391.1,0,1,4391.141,Wheat,250
1980,"Walpeup, VIC",Loomy sand over clay ,1,122,,4.531,227.9,1,,320,3503.1,0,1,3503.102,Wheat,250
1981,"Walpeup, VIC",Loomy sand over clay ,1,121,,21.81,317.8,1,,322,3232.6,0,1,3232.643,Wheat,250
1982,"Walpeup, VIC",Loomy sand over clay ,1,121,,3.311,48,3,,0,50.6,0,1,50.613,Wheat,250
1983,"Walpeup, VIC",Loomy sand over clay ,1,121,,6.417,227.6,1,,319,2731.4,0,1,2731.397,Wheat,250
1984,"Walpeup, VIC",Loomy sand over clay ,1,122,,3.544,154.7,1,,322,1375,0,1,1375.04,Wheat,250
1985,"Walpeup, VIC",Loomy sand over clay ,1,121,,17.204,219.3,0,,330,1286.1,0,1,1286.122,Wheat,250
1986,"Walpeup, VIC",Loomy sand over clay ,1,121,,7.042,347.1,3,,329,4612.6,0,1,4612.58,Wheat,250
1987,"Walpeup, VIC",Loomy sand over clay ,1,121,,3.487,224.4,2,,321,1548.7,0,1,1548.662,Wheat,250
1988,"Walpeup, VIC",Loomy sand over clay ,1,122,,35.837,268.4,4,,317,1410,0,1,1410.015,Wheat,250
1989,"Walpeup, VIC",Loomy sand over clay ,1,121,,3.39,218.3,1,,326,1567.9,0,1,1567.869,Wheat,250
1990,"Walpeup, VIC",Loomy sand over clay ,1,121,,3.402,197.9,4,,320,1382,0,1,1381.954,Wheat,250
